Image,Rating,Comment,Rater
002_S_0413_20061115_t1_stx2,Fail,"",Rater05
002_S_0685_20070122_t1_stx2,Pass,"",Rater05
002_S_0685_20070802_t1_stx2,Pass,"",Rater05
002_S_0729_20130816_t1_stx2,Pass,"",Rater05
002_S_0816_20070411_t1_stx2,Pass,"",Rater05
002_S_1018_20061218_t1_stx2,Pass,"",Rater05
002_S_1018_20070614_t1_stx2,Pass,"",Rater05
002_S_1070_20070607_t1_stx2,Pass,"",Rater05
002_S_1155_20080821_t1_stx2,Pass,"",Rater05
002_S_1155_S558282_t1_stx2,Pass,"",Rater05
002_S_1268_20070214_t1_stx2,Fail,"",Rater05
002_S_1268_20070307_t1_stx2,Fail,"",Rater05
002_S_1280_20070227_t1_stx2,Pass,"",Rater05
002_S_1280_20090219_t1_stx2,Pass,"",Rater05
002_S_4229_20110921_t1_stx2,Pass,"",Rater05
002_S_4229_20120918_t1_stx2,Pass,"",Rater05
002_S_4237_20120503_t1_stx2,Pass,"",Rater05
002_S_5178_20130516_t1_stx2,Pass,"",Rater05
002_S_5230_S722778_t1_stx2,Pass,"",Rater05
003_S_0907_20060911_t1_stx2,Pass,"",Rater05
003_S_0908_S663469_t1_stx2,Pass,"",Rater05
003_S_0981_20140415_t1_stx2,Pass,"",Rater05
003_S_4354_S574597_t1_stx2,Pass,"",Rater05
003_S_4839_S158765_t1_stx2,Pass,"",Rater05
003_S_4892_20121112_t1_stx2,Pass,"",Rater05
003_S_6257_S667501_t1_stx2,Fail,"",Rater05
003_S_6606_S746255_t1_stx2,Fail,"",Rater05
002_S_0295_20100513_t1_stx2,Pass,"",Rater04
002_S_0559_20060523_t1_stx2,Pass,"",Rater08
002_S_0559_20090630_t1_stx2,Pass,"",Rater08
002_S_0685_20110708_t1_stx2,Pass,"",Rater08
002_S_0685_20120727_t1_stx2,Pass,"",Rater08
002_S_0729_20070222_t1_stx2,Pass,"",Rater08
002_S_1018_20081212_t1_stx2,Pass,"",Rater02
002_S_0729_20070905_t1_stx2,Pass,"",Rater08
002_S_0782_20070919_t1_stx2,Pass,"",Rater08
002_S_0685_20060706_t1_stx2,Pass,"",Rater04
002_S_0685_20090721_t1_stx2,Pass,"",Rater04
002_S_1155_20140109_t1_stx2,Pass,"",Rater08
002_S_1155_20150105_t1_stx2,Pass,Y-Scale (AP),Rater08
002_S_0685_20100715_t1_stx2,Pass,"",Rater04
002_S_4219_20110914_t1_stx2,Pass,"",Rater08
002_S_4225_20110921_t1_stx2,Pass,"",Rater08
002_S_4225_S748918_t1_stx2,Pass,"",Rater08
002_S_4237_20131021_t1_stx2,Pass,"",Rater08
002_S_4521_20120524_t1_stx2,Pass,Z-Scale (IS),Rater08
002_S_4654_S562121_t1_stx2,Pass,Z-Scale (IS),Rater08
002_S_4799_20140703_t1_stx2,Pass,"",Rater08
002_S_1018_20070716_t1_stx2,Pass,"",Rater04
002_S_4799_S497582_t1_stx2,Pass,"",Rater08
002_S_5178_S569647_t1_stx2,Pass,"",Rater08
002_S_5230_20130923_t1_stx2,Pass,"",Rater08
002_S_5230_S325559_t1_stx2,Pass,"",Rater08
002_S_5256_20130715_t1_stx2,Pass,"",Rater08
002_S_6007_S679007_t1_stx2,Pass,"",Rater08
002_S_6030_S573169_t1_stx2,Pass,"",Rater08
003_S_0908_20070423_t1_stx2,Pass,"",Rater08
003_S_0908_20091020_t1_stx2,Pass,"",Rater08
002_S_1268_20070921_t1_stx2,Pass,"",Rater02
002_S_1155_S683912_t1_stx2,Pass,"",Rater04
003_S_0981_20061019_t1_stx2,Pass,"",Rater08
003_S_0981_20081112_t1_stx2,Pass,"",Rater08
002_S_1261_20130227_t1_stx2,Pass,"",Rater04
003_S_1059_20070618_t1_stx2,Pass,"",Rater08
003_S_1059_20081223_t1_stx2,Pass,"",Rater08
002_S_1280_S545524_t1_stx2,Pass,"",Rater02
002_S_0782_20070411_t1_stx2,Pass,"",Rater03
002_S_0782_20090904_t1_stx2,Pass,"",Rater03
002_S_0954_20070503_t1_stx2,Fail,"",Rater03
002_S_4229_20111221_t1_stx2,Pass,"",Rater02
002_S_4473_20130205_t1_stx2,Pass,"",Rater02
002_S_0954_S22322_t1_stx2,Fail,"",Rater03
002_S_5178_20130806_t1_stx2,Pass,"",Rater02
002_S_5230_20140124_t1_stx2,Pass,"",Rater02
002_S_1018_20061129_t1_stx2,Pass,"",Rater01
002_S_0955_20061011_t1_stx2,Pass,"",Rater03
002_S_1070_20091210_t1_stx2,Fail,X-Rot a little too close to the orbital bone.,Rater04
002_S_1268_20080602_t1_stx2,Pass,"",Rater01
002_S_1268_20120322_t1_stx2,Pass,"",Rater01
002_S_1280_20110504_t1_stx2,Pass,"",Rater01
003_S_0908_20101109_t1_stx2,Pass,"",Rater02
002_S_1070_20061218_t1_stx2,Pass,"",Rater03
002_S_1070_20081211_t1_stx2,Pass,"",Rater03
002_S_4225_20131017_t1_stx2,Pass,"",Rater01
003_S_0908_S266744_t1_stx2,Pass,"",Rater02
002_S_4229_S728696_t1_stx2,Pass,"",Rater01
002_S_4262_20111005_t1_stx2,Pass,"",Rater01
002_S_4264_20111005_t1_stx2,Pass,"",Rater01
002_S_1280_20130226_t1_stx2,Pass,"",Rater04
002_S_4473_20140227_t1_stx2,Pass,"",Rater01
002_S_2010_20101022_t1_stx2,Pass,"",Rater04
002_S_4473_S543826_t1_stx2,Pass,"",Rater01
003_S_4373_20111215_t1_stx2,Pass,"",Rater02
003_S_4441_20140124_t1_stx2,Fail,"",Rater02
002_S_1261_20100225_t1_stx2,Pass,"",Rater03
003_S_1257_20080515_t1_stx2,Fail,Z-Scale (IS),Rater08
003_S_1257_S27340_t1_stx2,Fail,Z-Scale (IS),Rater08
002_S_1280_20070823_t1_stx2,Pass,"",Rater03
003_S_4119_20110809_t1_stx2,Fail,Z-Scale (IS),Rater08
003_S_4136_20120918_t1_stx2,Pass,Z-Scale (IS),Rater08
002_S_5178_20131205_t1_stx2,Pass,"",Rater01
002_S_5178_S266570_t1_stx2,Pass,"",Rater01
002_S_1280_20071010_t1_stx2,Pass,ventricle (smaller than the outline),Rater03
003_S_4892_20130919_t1_stx2,Pass,"",Rater02
002_S_6007_S551363_t1_stx2,Pass,"",Rater01
003_S_1059_S225517_t1_stx2,Fail,"",Rater01
003_S_6014_S659903_t1_stx2,Pass,"",Rater02
003_S_4555_20120305_t1_stx2,Pass,Y-Scale (AP),Rater08
002_S_4229_20131016_t1_stx2,Pass,"",Rater04
003_S_4555_20121107_t1_stx2,Pass,"",Rater08
003_S_1074_S615866_t1_stx2,Pass,"",Rater01
003_S_4555_20130521_t1_stx2,Pass,"",Rater08
003_S_1122_20090109_t1_stx2,Pass,"",Rater01
005_S_0221_20070321_t1_stx2,Pass,"",Rater02
003_S_1122_S566115_t1_stx2,Pass,"",Rater01
003_S_4644_S574253_t1_stx2,Pass,Z-Scale (IS),Rater08
002_S_1280_20100218_t1_stx2,Pass,ventricle (smaller than the outline),Rater03
003_S_4840_S158776_t1_stx2,Pass,"",Rater08
003_S_5154_20130430_t1_stx2,Pass,"",Rater08
003_S_4119_20120828_t1_stx2,Fail,"",Rater01
003_S_5165_20130816_t1_stx2,Pass,"",Rater08
005_S_0324_20061113_t1_stx2,Pass,"",Rater02
002_S_4229_S325496_t1_stx2,Pass,"",Rater04
003_S_4142_S121319_t1_stx2,Pass,"",Rater01
