Image,Expert2,Expert1
mri1227_no_name_20120103_125917_3_mri_T1,Pass,Pass
mri1433_no_name_20060829_110620_5_mri_T1,Fail,Fail
mri1704_no_name_20120208_125907_2_mri_T1,Warning,Pass
mri1432_no_name_20060901_103907_4_mri_T1,Fail,Fail
mri1004_no_name_20070710_152306_3_mri_T1,Pass,Pass
mri1242_no_name_20130517_141630_2_mri_T1,Pass,Pass
mri104_na971602_20120127_095829_21_mri_T1,Pass,Fail
mri1181_no_name_20120626_143537_2_mri_T1,Fail,Pass
mri1880_4935_20121107_103631_9_mri_T1,Warning,Pass
mri1601_no_name_20100608_112214_4_mri_T1,Pass,Pass
mri1834_no_name_20130911_074546_4_mri_T1,Fail,Pass
mri1197_no_name_20130430_121052_2_mri_T1,Warning,Pass
mri1192_no_name_20121108_113541_2_mri_T1,Pass,Pass
mri1688_no_name_20110805_130424_2_mri_T1,Fail,Pass
mri1428_no_name_20100415_110854_4_mri_T1,Pass,Pass
mri1573_no_name_20110819_131547_2_mri_T1,Pass,Pass
mri1682_no_name_20110113_111156_4_mri_T1,Warning,Pass
mri1692_no_name_20111209_130510_2_mri_T1,Warning,Pass
mri144_no_name_20100930_091919_10_mri_T1,Fail,Fail
mri1630_no_name_20090408_130529_3_mri_T1,Pass,Pass
mri1071_no_name_20100127_101002_4_mri_T1,Pass,Pass
mri1012_no_name_20070828_101847_3_mri_T1,Fail,Fail
mri1848_no_name_20131014_090100_6_mri_T1,Fail,Fail
mri1475_no_name_20070417_150710_4_mri_T1,Fail,Fail
mri152_no_name_20100525_073647_6_mri_T1,Warning,Pass
mri1394_no_name_20051115_114024_3_mri_T1,Fail,Pass
mri1131_no_name_20090721_134831_3_mri_T1,Pass,Pass
mri1083_no_name_20110121_143212_2_mri_T1,Fail,Pass
mri1120_no_name_20120720_085040_2_mri_T1,Fail,Pass
mri137_no_name_20100317_080728_9_mri_T1,Pass,Pass
mri149_no_name_20100616_092335_8_mri_T1,Warning,Fail
mri1028_no_name_20100127_121012_4_mri_T1,Warning,Pass
mri1320_no_name_20091211_110842_3_mri_T1,Pass,Pass
mri1085_no_name_20081119_132139_3_mri_T1,Pass,Pass
mri1352_no_name_20121102_111308_2_mri_T1,Pass,Pass
mri1241_no_name_20130116_152733_2_mri_T1,Pass,Pass
mri1699_no_name_20120206_120623_2_mri_T1,Fail,Pass
mri1240_no_name_20120709_125826_2_mri_T1,Pass,Pass
mri1040_no_name_20080616_141810_3_mri_T1,Warning,Fail
mri1713_no_name_20121129_142858_2_mri_T1,Pass,Pass
mri128_no_name_20100205_090102_6_mri_T1,Pass,Pass
mri1069_no_name_20100127_110528_4_mri_T1,Fail,Pass
mri1641_no_name_20090914_110241_3_mri_T1,Pass,Pass
mri1207_no_name_20110425_113103_2_mri_T1,Warning,Pass
mri1097_no_name_20090218_141450_3_mri_T1,Pass,Pass
mri1651_no_name_20120927_131803_2_mri_T1,Pass,Pass
mri1855_no_name_20131122_101643_2_mri_T1,Pass,Pass
mri1361_no_name_20100430_110613_3_mri_T1,Pass,Pass
mri1398_no_name_20100428_150509_4_mri_T1,Pass,Pass
mri1296_no_name_20110818_133338_2_mri_T1,Pass,Pass
mri1578_no_name_20080311_142522_3_mri_T1,Fail,Fail
mri1198_no_name_20110215_132321_2_mri_T1,Pass,Fail
mri1400_no_name_20100503_121055_4_mri_T1,Warning,Pass
mri1251_no_name_20100709_131324_4_mri_T1,Pass,Pass
mri131_no_name_20100126_091714_6_mri_T1,Pass,Fail
mri1104_no_name_20090326_121649_3_mri_T1,Pass,Pass
mri1159_no_name_20120126_105137_2_mri_T1,Fail,Pass
mri103_na113933_20130117_111022_17_mri_T1,Pass,Fail
mri1233_no_name_20120615_132155_2_mri_T1,Pass,Pass
mri1590_no_name_20080505_111257_4_mri_T1,Fail,Fail
mri1660_no_name_20100119_141521_3_mri_T1,Pass,Pass
mri1080_no_name_20081115_073735_10_mri_T1,Fail,Pass
mri1322_no_name_20090507_121452_3_mri_T1,Pass,Pass
mri1260_no_name_20060809_113503_3_mri_T1,Warning,Warning
mri188_no_name_20110506_080654_9_mri_T1,Pass,Pass
mri1464_no_name_20090529_120129_3_mri_T1,Pass,Pass
