Image,Expert01,Expert02
qc_002_S_0295_20060418_redskull_bison,Fail,Fail
qc_002_S_0295_20061102_redskull_bison,Fail,Fail
qc_002_S_0295_20070525_redskull_bison,Fail,Fail
qc_002_S_0295_20080723_redskull_bison,Fail,Fail
qc_002_S_0295_20090522_redskull_bison,Fail,Fail
qc_002_S_0295_20100513_redskull_bison,Fail,Fail
qc_002_S_0295_20110602_redskull_bison,Fail,Fail
qc_002_S_0295_20120510_redskull_bison,Fail,Fail
qc_002_S_0413_20060502_redskull_bison,Pass,Pass
qc_002_S_0413_20060519_redskull_bison,Pass,Pass
qc_002_S_0413_20061115_redskull_bison,Pass,Pass
qc_002_S_0413_20070601_redskull_bison,Pass,Pass
qc_002_S_0413_20080731_redskull_bison,Pass,Pass
qc_002_S_0413_20090430_redskull_bison,Pass,Pass
qc_002_S_0413_20090504_redskull_bison,Pass,Pass
qc_002_S_0413_20100506_redskull_bison,Pass,Pass
qc_002_S_0413_20110616_redskull_bison,Pass,Pass
qc_002_S_0413_20120515_redskull_bison,Pass,Pass
qc_002_S_0413_20130510_redskull_bison,Pass,Pass
qc_002_S_0413_20140501_redskull_bison,Pass,Pass
qc_002_S_0559_20060523_redskull_bison,Fail,Fail
qc_002_S_0559_20060627_redskull_bison,Fail,Fail
qc_002_S_0559_20061212_redskull_bison,Fail,Fail
qc_002_S_0559_20070713_redskull_bison,Fail,Fail
qc_002_S_0559_20071018_redskull_bison,Fail,Fail
qc_002_S_0559_20080815_redskull_bison,Fail,Fail
qc_002_S_0559_20090630_redskull_bison,Fail,Fail
qc_002_S_0619_20060601_redskull_bison,Pass,Pass
qc_002_S_0619_20061213_redskull_bison,Fail,Fail
qc_002_S_0619_20070622_redskull_bison,,Pass
qc_002_S_0619_20080813_redskull_bison,,Fail
qc_002_S_0685_20060706_redskull_bison,,Fail
qc_002_S_0685_20070122_redskull_bison,,Fail
qc_002_S_0685_20070802_redskull_bison,,Pass
