Case_1,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_10,Fail,Y-Scale (AP); Small; Occipital
Case_101,Fail,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
Case_103,Fail,X-Scale (LR); Small
Case_104,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_105,Fail,Z-Scale (IS); Big
Case_106,Fail,Z-Scale (IS); Small
Case_107,Pass,
Case_108,Pass,Z-Scale (IS); Big
Case_110,Pass,
Case_111,Pass,
Case_112,Pass,
Case_113,Fail,X-Rot (LR); Cerebellum/Tentorium
Case_114,Fail,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
Case_115,Pass,
Case_116,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_117,Fail,X-Scale (LR); Small
Case_119,Fail,X-Rot (LR); Orbitofrontal/Eyes. X-Rot (LR); Cerebellum/Tentorium. Y-Scale (AP); Small; Occipital
Case_120,Fail,X-Rot (LR); Orbitofrontal/Eyes. Y-Scale (AP); Big; Frontal
Case_122,Pass,
Case_123,Fail,X-Rot (LR); Cerebellum/Tentorium. Z-Scale (IS); Big
Case_124,Pass,
Case_127,Pass,
Case_128,Fail,X-Rot (LR); Orbitofrontal/Eyes. Z-Scale (IS); Small
Case_129,Fail,Y-Scale (AP); Big; Occipital
Case_13,Fail,Z-Scale (IS); Small
Case_130,Pass,
Case_132,Fail,X-Rot (LR); Orbitofrontal/Eyes. Z-Scale (IS); Big
Case_133,Fail,
Case_135,Fail,
Case_136,Pass,
Case_137,Fail,Y-Scale (AP); Big; Occipital
Case_14,Pass,
Case_140,Pass,
Case_143,Fail,Z-Scale (IS); Small
Case_146,Fail,Y-Scale (AP); Small; Occipital
Case_15,Pass,
Case_150,Fail,X-Rot (LR); Orbitofrontal/Eyes. Y-Scale (AP); Small; Occipital
Case_18,Fail,X-Rot (LR); Cerebellum/Tentorium
Case_2,Fail,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
Case_20,Fail,Z-Scale (IS); Big
Case_21,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_22,Pass,
Case_23,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_24,Pass,
Case_25,Fail,X-Scale (LR); Small
Case_27,Pass,
Case_28,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_29,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_30,Fail,Z-Scale (IS); Small
Case_32,Fail,Z-Scale (IS); Small
Case_33,Pass,
Case_34,Pass,
Case_35,Pass,
Case_36,Pass,
Case_38,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_39,Fail,Z-Scale (IS); Big
Case_4,Pass,
Case_43,Fail,Y-Scale (AP); Small; Occipital
Case_45,Pass,
Case_46,Fail,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
Case_47,Fail,X-Rot (LR); Cerebellum/Tentorium
Case_48,Fail,X-Rot (LR); Orbitofrontal/Eyes. X-Rot (LR); Cerebellum/Tentorium. Z-Scale (IS); Small
Case_5,Fail,Y-Scale (AP); Small; Occipital
Case_54,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_55,Fail,Z-Scale (IS); Small
Case_56,Fail,X-Rot (LR); Cerebellum/Tentorium
Case_58,Pass,
Case_59,Fail,X-Rot (LR); Cerebellum/Tentorium
Case_6,Fail,X-Rot (LR); Orbitofrontal/Eyes. Y-Scale (AP); Small; Occipital
Case_60,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_63,Pass,
Case_65,Fail,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
Case_67,Pass,
Case_68,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_69,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_7,Fail,Y-Scale (AP); Small; Occipital
Case_70,Pass,odd intensity artefact/inhomogeneity
Case_71,Pass,X-Scale (LR); Small
Case_73,Fail,X-Rot (LR); Cerebellum/Tentorium
Case_74,Pass,
Case_75,Fail,Z-Scale (IS); Small
Case_77,Fail,Y-Scale (AP); Big; Occipital
Case_79,Pass,
Case_80,Pass,
Case_82,Fail,Z-Scale (IS); Big
Case_84,Fail,
Case_85,Pass,
Case_87,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_88,Fail,Y-Scale (AP); Small; Occipital
Case_89,Pass,
Case_9,Pass,
Case_90,Pass,
Case_92,Fail,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
Case_93,Fail,X-Rot (LR); Orbitofrontal/Eyes
Case_94,Pass,
Case_95,Pass,
Case_98,Fail,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
Case_99,Fail,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small
