Case_127,Pending,Rater01,"",2022-09-07T10:32:41Z
Case_127,Pass,Rater08,"",2022-08-04T14:02:20Z
Case_127,Fail,Rater05,X-Rot (LR); Orbitofrontal/Eyes. X-Rot (LR); Cerebellum/Tentorium,2022-08-05T00:43:29Z
Case_127,Fail,Rater02,X-Rot (LR); Orbitofrontal/Eyes,2022-08-05T23:06:21Z
Case_127,Fail,Rater06,"",2022-08-05T23:29:22Z
Case_127,Fail,Rater03,Z-Scale (IS); Small,2022-08-08T04:48:58Z
Case_127,Pass,Rater07,"",2022-08-08T17:24:15Z
Case_127,Fail,Rater04,X-Rot (LR); Orbitofrontal/Eyes,2022-08-09T00:16:46Z
Case_27,Pending,Rater01,"",2022-09-07T10:36:23Z
Case_27,Fail,Rater08,Y-Scale (AP); Big; Frontal,2022-08-04T14:12:06Z
Case_27,Pass,Rater05,X-Rot (LR); Orbitofrontal/Eyes,2022-08-05T01:06:34Z
Case_27,Fail,Rater02,Z-Scale (IS); Big,2022-08-08T02:31:20Z
Case_27,Pass,Rater06,X-Rot (LR); Cerebellum/Tentorium,2022-08-06T00:12:48Z
Case_27,Fail,Rater03,Z-Scale (IS); Big,2022-08-08T04:43:48Z
Case_27,Pass,Rater07,"",2022-08-08T17:34:00Z
Case_27,Pass,Rater04,X-Rot (LR); Cerebellum/Tentorium,2022-08-12T22:26:21Z
Case_104,Fail,Rater01,X-Rot (LR); Orbitofrontal/Eyes,2022-08-02T22:19:05Z
Case_104,Fail,Rater08,X-Rot (LR); Orbitofrontal/Eyes. X-Rot (LR); Cerebellum/Tentorium,2022-08-04T13:49:50Z
Case_104,Fail,Rater05,X-Rot (LR); Orbitofrontal/Eyes,2022-08-05T00:23:26Z
Case_104,Fail,Rater06,X-Rot (LR); Orbitofrontal/Eyes,2022-08-08T13:35:10Z
Case_104,Fail,Rater02,X-Rot (LR); Orbitofrontal/Eyes,2022-08-05T21:45:59Z
Case_104,Fail,Rater03,X-Rot (LR); Cerebellum/Tentorium,2022-08-08T04:26:39Z
Case_104,Fail,Rater07,X-Rot (LR); Orbitofrontal/Eyes,2022-08-08T21:39:39Z
Case_104,Fail,Rater04,X-Rot (LR); Orbitofrontal/Eyes,2022-08-08T23:56:56Z
Case_20,Fail,Rater01,Z-Scale (IS); Big,2022-08-02T22:32:31Z
Case_20,Fail,Rater08,Z-Scale (IS); Big,2022-08-04T14:10:18Z
Case_20,Fail,Rater05,Z-Scale (IS); Big,2022-08-05T01:04:23Z
Case_20,Fail,Rater02,Z-Scale (IS); Big,2022-08-05T23:27:56Z
Case_20,Fail,Rater06,Z-Scale (IS); Big,2022-08-06T00:10:17Z
Case_20,Fail,Rater03,"",2022-08-07T21:47:33Z
Case_20,Fail,Rater07,Z-Scale (IS); Small,2022-08-08T19:20:42Z
Case_20,Fail,Rater04,Z-Scale (IS); Big,2022-08-12T22:19:42Z
Case_95,Pending,Rater01,"",2022-09-07T10:41:03Z
Case_95,Fail,Rater08,Z-Scale (IS); Big,2022-08-04T14:27:09Z
Case_95,Pass,Rater05,X-Rot (LR); Cerebellum/Tentorium,2022-08-05T01:21:14Z
Case_95,Pass,Rater06,X-Rot (LR); Cerebellum/Tentorium,2022-08-08T15:13:20Z
Case_95,Fail,Rater02,X-Rot (LR); Cerebellum/Tentorium,2022-08-08T01:16:04Z
Case_95,Fail,Rater03,Y-Scale (AP); Big; Occipital. Y-Scale (AP); Big; Frontal. Z-Scale (IS); Big,2022-08-08T04:30:17Z
Case_95,Fail,Rater07,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-08-08T18:14:11Z
Case_95,Fail,Rater04,X-Rot (LR); Cerebellum/Tentorium. X-Scale (LR); Small,2022-08-12T23:03:09Z
Case_103,Pass,Rater05,"",2022-08-01T19:35:09Z
Case_103,Pending,Rater01,X-Rot (LR); Cerebellum/Tentorium,2022-09-07T10:30:01Z
Case_103,Fail,Rater08,Z-Scale (IS); Big,2022-08-04T13:49:16Z
Case_103,Pass,Rater06,X-Rot (LR); Cerebellum/Tentorium,2022-08-08T13:33:29Z
Case_103,Fail,Rater02,X-Rot (LR); Cerebellum/Tentorium,2022-08-08T00:22:34Z
Case_103,Fail,Rater03,Z-Scale (IS); Big,2022-08-07T21:21:04Z
